"Firmenname";"Straße";"Ort";"ID";"Anzahl"
"Dachkonzept Thomas Gerhard GmbH";"Schweinfurter Straße 11";"97332 Volkach/Gaibach";30;1,00
"Därr Wohnen";"Mainaue 2";"97247 Obereisenheim";30;1,00
"Fa. Elektro-Schneider";"Birkenstraße 1";"97537 Wipfeld";30;1,00
"FL Fliesenland GmbH
";"Kettelerstraße 33";"97222 Rimpar";29;1,00
"Gasthof zur Rose";"Gaulberg 2";"97247 Obereisenheim";30;1,00
"Haustechnik Hart";"Albin-Jörg-Straße 10";"97222 Rimpar- Maidbronn";30;1,00
"Hochrein Angus";"Langgasse 15";"97247 Eisenheim";30;1,00
"Holzwerke Gleitsmann ";"Hirtenweg 8";"57509 Unterspiesheim";30;2,00
"Kräuterhaus Wild GmbH & Co KG";"Meßmerstr. 29";"97508 Grettstadt";30;1,00
"Mainklima";"Faulenbergstraße 5";"97076 Würzburg";30;1,00
"Maler & Verputzer C. Schäfer";"Streugarten 5";"97537 Wipfeld";30;1,00
"Pfeuffer Haustechnik";"Kantstrasse 32";"97241 Dipbach";30;1,00
"Reifen Simon";"Ziegeltorstraße 4";"97247 Eisenheim";30;1,00
"Rumpel & Co. Bedachungen GmbH";"Am Stöckig 3";"97241 Opferbaum";30;1,00
"Sayit Toprak Fliesenleger
";"Reichertsgasse 15";"97247 Eisenheim";30;1,00
"Sparkasse Mainfranken Würzburg
";"Hofstraße 7-9";"97070 Würzburg";30;1,00
"Weinerlebnis Stühler";"Landwehrstraße 1";"97247 Untereisenheim";29;1,00
"Winzerhöfle Blass";"Ringgasse 1";"97247 Untereisenheim";30;1,00
